Course,Year Level,Category,Comment,Sentiment,Date
BSBA,3,Payments,"Sa totoo lang, thankful ako kasi pinayagan akong mag-installment nung nahirapan ako sa tuition. sana maayos na.",Positive,2026-09-20
BEED,4,Staff,"Ang bagal ng registrar mag-process, ilang beses akong bumalik balik walang update. sana maayos na.",Negative,2026-02-20
BSA-MA,4,Facilities,sira ulit aircon ????,Negative,2026-06-13
BSN,3,Faculty,"Update: he plays favorites talaga, halata kung sino paborito niya sa recitation.",Negative,2026-06-10
BSED,1,Facilities,"Honestly, aircon sa room 305 super sarap na, di na init ng init tulad dati. sobra.",Positive,2026-10-16
BSN,2,Staff,"FYI, wala akong masabing negative pero wala rin akong masabing wow. just saying.",Neutral,2026-01-09
BSBA,4,Facilities,"Just my two cents, wifi connection is unreliable, laging nadidisconnect tuwing may online activity kami.",Negative,2026-06-01
BSIS,2,Staff,"Sa totoo lang, napaka-mabagal ng response sa email namin sa OSA, one month na walang balita.",Negative,2026-06-18
BSN,4,Staff,Di sila mabilis pero at least sinasagot lahat ng tanong ko nang matiyaga.,Positive,2026-10-19
BSN,4,Faculty,Si Ma'am Reyes explains grading criteria clearly kaya alam mo agad saan ka nagkulang.,Positive,2026-10-09
BSCE,3,Faculty,Grading rubric was posted early so alam namin agad ang expectations. just saying.,Positive,2026-05-12
BSA-MA,4,Payments,"Sa totoo lang, wala akong strong opinion, straightforward lang naman ang binayaran ko. di ko lang masabi kung tama ba ako.",Neutral,2026-11-25
BSPSY,4,Facilities,"Btw, aircon sa room 305 super sarap na, di na init ng init tulad dati. di ko lang masabi kung tama ba ako.",Positive,2026-08-24
BSIS,3,Payments,"Walang malinaw na breakdown ng fees, biglang taas nalang ng total.",Negative,2026-03-28
BSIS,4,Faculty,"Honestly, deadlines change without warning, tapos kami pa nasisisi kung di namin nasunod. no cap.",Negative,2026-04-05
BSHM,1,Faculty,"Tbh, he's fine I guess, walang major issue pero walang rin extra effort. di ko lang masabi kung tama ba ako.",Neutral,2026-09-26
BSCS,1,Faculty,Grading seems fine so far pero wala pa kaming enough data para masabi.,Neutral,2026-01-25
BSA-MA,1,Staff,"Wala akong masabi, straightforward lang naman transaction namin.",Neutral,2026-07-31
BSIS,2,Facilities,"Honestly, not bad, pero medyo outdated na yung ibang equipment. di ko lang masabi kung tama ba ako.",Neutral,2026-02-04
BSPSY,2,Faculty,"Btw, depende sa araw, minsan energetic siya minsan parang pagod na pagod.",Neutral,2026-01-05
BSN,4,Faculty,He shouted at a classmate in front of everyone just for asking a question.,Negative,2026-07-11
BSCS,4,Faculty,Instructor rarely responds to emails even for urgent concerns about requirements.,Negative,2026-09-07
BSCS,1,Facilities,"Okay naman ang facilities overall, may mga parte lang na pwede pang ayusin. just saying.",Neutral,2026-09-30
BSHM,4,Facilities,"Tbh, parking area is well organized now, hindi na siksikan tulad noon.",Positive,2026-01-07
BSCS,3,Facilities,"Roof leaks directly sa computer lab, delikado sa mga equipment. grabe talaga.",Negative,2026-10-02
BSBA,1,Payments,"Average lang ang experience, walang major complaint. sobra.",Neutral,2026-09-15
BSPSY,4,Payments,"Online payment confirmation was instant, sobrang convenient talaga. sobra.",Positive,2026-04-02
BSIT,1,Staff,"Btw, some are helpful, some parang ayaw kausapin, depende sa staff mo makuha. no cap.",Neutral,2026-09-26
BSIS,2,Facilities,"FYI, facilities team quickly addressed the broken projector before our presentation. di ko lang masabi kung tama ba ako.",Positive,2026-04-09
BSTM,3,Payments,"FYI, ang init sa loob habang naghihintay, walang aircon sa payment area. just saying.",Negative,2026-07-01
BSBA,4,Staff,"Ang bagal ng registrar mag-process, ilang beses akong bumalik balik walang update. sana ma-address to.",Negative,2026-02-10
BSA,4,Payments,"FYI, fine naman, pero pwede pang mapabilis konti. sana maayos na.",Neutral,2026-08-24
BSTM,2,Payments,"Honestly, not sure kung mas mabilis na ba talaga o pareho lang, need pa ng time to observe. no cap.",Neutral,2026-04-26
BSBA,1,Faculty,"Tbh, okay lang naman siya, wala namang masabi pero wala ring standout. just saying.",Neutral,2026-11-29
BSA-MA,1,Payments,"FYI, ang tagal ng pila sa cashier, umabot ng tatlong oras bago ako naasikaso. di ko lang masabi kung tama ba ako.",Negative,2026-02-17
BSED,4,Facilities,"Update: projector in our room hasn't worked all semester, laging nangangapa si prof. sobra.",Negative,2026-07-13
BSHM,4,Facilities,"Bagong chairs sa canteen mas comfortable, di na masakit ang likod after klase.",Positive,2026-01-29
BSCE,1,Payments,"Sobrang bagal ng refund process, isang buwan na wala pa rin update. no cap.",Negative,2026-03-29
BSIT,4,Payments,"Tbh, online payment confirmation was instant, sobrang convenient talaga. sana maayos na.",Positive,2026-08-11
BSCE,3,Payments,"Tbh, napakabilis ng transaction ngayon compared last semester, malaking improvement.",Positive,2026-10-17
BSIT,1,Staff,"FYI, some are helpful, some parang ayaw kausapin, depende sa staff mo makuha. no cap.",Neutral,2026-04-28
BSN,4,Payments,"Average lang ang experience, walang major complaint.",Neutral,2026-05-19
BSCS,1,Faculty,"Our professor is strict pero makatarungan, alam mo talagang kumita ka ng grade mo.",Positive,2026-05-24
BSHM,1,Faculty,I like that he admits when a topic is hard and slows down for us.,Positive,2026-04-02
BSA,1,Facilities,"Btw, average lang, wala namang masyadong issue pero wala ring standout.",Neutral,2026-04-17
BSTM,2,Faculty,"Tbh, okay lang naman siya, wala namang masabi pero wala ring standout. no cap.",Neutral,2026-07-23
BSIT,3,Faculty,"Honestly, class starts late tas natatapos din late, sayang oras namin.",Negative,2026-03-25
BSTM,2,Faculty,"Tbh, prof genuinely cares about our understanding, hindi lang basta tapos ang klase.",Positive,2026-10-18
BSED,3,Staff,"Sa totoo lang, process is standard lang, walang kakaiba. just saying.",Neutral,2026-07-16
BSA-MA,2,Staff,"Front desk keeps giving conflicting information, iba sabi niya tapos iba naman sabi ng kasama niya.",Negative,2026-02-10
BSHM,3,Faculty,"Ang galing ng teaching style ni Ma'am, kahit boring subject naging interesting.",Positive,2026-01-28
BSIT,4,Faculty,"Deadlines change without warning, tapos kami pa nasisisi kung di namin nasunod. sana ma-address to.",Negative,2026-04-29
BSIT,3,Staff,Guidance office staff was very patient explaining the process to me step by step. no cap.,Positive,2026-11-06
BSA-MA,4,Payments,"Update: walang malinaw na breakdown ng fees, biglang taas nalang ng total. just saying.",Negative,2026-06-17
BSCS,3,Staff,"Btw, front desk personnel greeted us warmly, nagpapagaan ng mood pag pupunta ka doon.",Positive,2026-08-19
BEED,2,Facilities,"Some rooms are fine, some need improvement, depende sa building. sobra.",Neutral,2026-07-02
BSHM,4,Payments,"Ang galing ng bagong system, ang bilis daw, pero bakit ba three hours akong naghintay.",Negative,2026-08-10
BSIS,4,Payments,Staff was dismissive when I asked about installment options.,Negative,2026-02-13
BSA-MA,3,Faculty,"Di ko alam kung dapat masaya ako o hindi, minsan clear siya minsan nakakalito.",Neutral,2026-05-07
BSPSY,1,Staff,"FYI, not bad but could be more responsive sa mga follow up questions. no cap.",Neutral,2026-02-12
BSBA,2,Payments,"May extra charge na hindi ko alam kung saan galing, walang paliwanag binigay.",Negative,2026-07-14
BSPSY,2,Staff,Nakakatuwa kasi sinagot agad ni ma'am yung concern ko sa OSA within the day.,Positive,2026-07-19
BSA,3,Facilities,"Btw, not bad, pero medyo outdated na yung ibang equipment. grabe talaga.",Neutral,2026-02-24
BSIT,1,Staff,"Btw, staff sa library super helpful pag naghahanap ka ng reference books. di ko lang masabi kung tama ba ako.",Positive,2026-06-07
BEED,3,Payments,"Ang init sa loob habang naghihintay, walang aircon sa payment area.",Negative,2026-05-19
BSIT,2,Staff,"Very professional and kind, sinagot lahat ng tanong ko about enrollment.",Positive,2026-02-14
BSIS,4,Facilities,"Btw, okay naman ang facilities overall, may mga parte lang na pwede pang ayusin.",Neutral,2026-08-18
BSHM,4,Faculty,Grading seems fine so far pero wala pa kaming enough data para masabi. di ko lang masabi kung tama ba ako.,Neutral,2026-02-22
BSCS,1,Faculty,Grading rubric was posted early so alam namin agad ang expectations.,Positive,2026-07-01
BSHM,1,Facilities,Library extended hours help a lot lalo na during exam week.,Positive,2026-11-02
BSTM,3,Payments,"Tbh, payment portal is working smoothly now, walang lag kahit peak hours. sobra.",Positive,2026-07-17
BSCS,3,Facilities,"Fine naman sa ngayon, tingnan pa natin next sem kung mag-iimprove pa.",Neutral,2026-07-31
BSED,1,Staff,"Sa totoo lang, not bad but could be more responsive sa mga follow up questions. no cap.",Neutral,2026-10-14
BSN,2,Facilities,"Wifi is finally stable sa library, di na nade-disconnect habang nag-rrsearch ako. sobra.",Positive,2026-07-14
BSIS,2,Facilities,"Sa totoo lang, bagong chairs sa canteen mas comfortable, di na masakit ang likod after klase. di ko lang masabi kung tama ba ako.",Positive,2026-05-18
BSBA,3,Staff,"Update: medyo mixed experience, minsan mabilis, minsan hindi. sana ma-address to.",Neutral,2026-09-10
BSIS,1,Facilities,"Honestly, some rooms are fine, some need improvement, depende sa building. sobra.",Neutral,2026-03-27
BSED,3,Faculty,"Grades don't match the rubric at all, parang random lang binigay.",Negative,2026-08-04
BSBA,4,Facilities,"'World class facilities' talaga sabi nila, pero bakit sira pa rin yung aircon namin.",Negative,2026-02-09
BSA,3,Payments,"System nag-error nung nagbabayad ako online, na-charge ako twice.",Negative,2026-05-07
BSPSY,4,Facilities,Facilities team quickly addressed the broken projector before our presentation.,Positive,2026-11-01
BSTM,2,Payments,Update: medyo tagal pero maayos naman ang naging transaction sa huli. grabe talaga.,Neutral,2026-08-23
BSIT,2,Facilities,"Grabe ang amoy sa CR, matagal na yatang hindi na-clean.",Negative,2026-06-05
BSCS,4,Staff,"Napaka-mabagal ng response sa email namin sa OSA, one month na walang balita.",Negative,2026-06-20
BSTM,4,Payments,"Napakabilis ng transaction ngayon compared last semester, malaking improvement. sana maayos na.",Positive,2026-06-18
BEED,3,Facilities,"Sa totoo lang, elevator has been broken for weeks, hirap sa mga may disability o injury. sobra.",Negative,2026-08-09
BSCE,2,Payments,"Walang malinaw na breakdown ng fees, biglang taas nalang ng total. sana maayos na.",Negative,2026-06-03
BSA,2,Payments,Salamat sa cashier na tinulungan akong ayusin yung double charge ko kaninang tanghali.,Positive,2026-09-03
BSA,2,Facilities,"Elevator has been broken for weeks, hirap sa mga may disability o injury. just saying.",Negative,2026-07-23
BSA,3,Payments,Salamat sa cashier na tinulungan akong ayusin yung double charge ko kaninang tanghali. grabe talaga.,Positive,2026-11-21
BEED,2,Facilities,"Sa totoo lang, roof leaks directly sa computer lab, delikado sa mga equipment.",Negative,2026-06-16
BSED,3,Payments,"FYI, not sure kung mas mabilis na ba talaga o pareho lang, need pa ng time to observe. no cap.",Neutral,2026-07-21
BSA,1,Payments,Nireject yung payment ko kahit tama naman lahat ng binigay kong details.,Negative,2026-10-16
BSN,2,Staff,"Front desk keeps giving conflicting information, iba sabi niya tapos iba naman sabi ng kasama niya. di ko lang masabi kung tama ba ako.",Negative,2026-10-09
BSCS,4,Facilities,"Projector in our room hasn't worked all semester, laging nangangapa si prof. sana ma-address to.",Negative,2026-04-18
BEED,3,Staff,"They're fine most of the time, minsan lang medyo mabagal. no cap.",Neutral,2026-02-05
BSA-MA,4,Facilities,"Just my two cents, wifi is finally stable sa library, di na nade-disconnect habang nag-rrsearch ako.",Positive,2026-09-13
BSIS,3,Staff,"Btw, they're fine most of the time, minsan lang medyo mabagal. sana ma-address to.",Neutral,2026-05-04
BSBA,2,Facilities,"Sira na naman yung aircon sa room 210, sobrang init hindi ka makapag focus.",Negative,2026-08-05
BSA-MA,4,Facilities,"Just my two cents, aircon sa room 305 super sarap na, di na init ng init tulad dati.",Positive,2026-02-07
BEED,4,Faculty,Instructor rarely responds to emails even for urgent concerns about requirements. di ko lang masabi kung tama ba ako.,Negative,2026-10-26
BSED,4,Facilities,"Tbh, wifi connection is unreliable, laging nadidisconnect tuwing may online activity kami. grabe talaga.",Negative,2026-10-06
BSCS,3,Payments,"They processed my scholarship discount without issues this time, salamat! no cap.",Positive,2026-10-02
BSTM,1,Staff,Nagtatampo yung guard kapag tinatanong mo lang kung saan yung room.,Negative,2026-02-25
BSA-MA,2,Facilities,"Update: some rooms are fine, some need improvement, depende sa building. sobra.",Neutral,2026-07-01
BSIS,1,Faculty,"FYI, grading rubric was posted early so alam namin agad ang expectations. grabe talaga.",Positive,2026-10-16
BSCE,4,Faculty,"Tbh, class starts late tas natatapos din late, sayang oras namin. just saying.",Negative,2026-06-19
BSA-MA,4,Faculty,"Sa totoo lang, sometimes helpful, sometimes parang naiirita na siya sa tanong namin. sana maayos na.",Neutral,2026-02-24
BSCS,1,Faculty,"Sa totoo lang, medyo mixed feelings ako, minsan clear siya minsan hindi masyado. di ko lang masabi kung tama ba ako.",Neutral,2026-05-13
BSN,2,Payments,Medyo tagal pero maayos naman ang naging transaction sa huli.,Neutral,2026-08-17
BSA,4,Staff,"FYI, very unapproachable, parang ayaw kang lapitan kapag may tanong ka.",Negative,2026-08-26
BSA-MA,2,Payments,"FYI, ang init sa loob habang naghihintay, walang aircon sa payment area. sana maayos na.",Negative,2026-06-26
BSCS,4,Faculty,"I don't have strong opinions yet, one topic pa lang naman namin sakanya. sana ma-address to.",Neutral,2026-02-23
BSBA,4,Facilities,"Maintenance team fixed the leaking faucet within the day, ang bilis.",Positive,2026-02-13
BSIT,2,Payments,"Wala akong strong opinion, straightforward lang naman ang binayaran ko.",Neutral,2026-06-28
BSBA,3,Payments,"Nagulat ako mabilis pala pag maaga ka pumunta, di gaya ng dati.",Positive,2026-08-22
BSA-MA,2,Facilities,Library extended hours help a lot lalo na during exam week. sana maayos na.,Positive,2026-09-24
BEED,3,Facilities,"Just my two cents, sirang chairs pa rin hindi na-replace kahit ilang beses na reported. di ko lang masabi kung tama ba ako.",Negative,2026-09-01
BSIT,4,Payments,Salamat sa cashier na tinulungan akong ayusin yung double charge ko kaninang tanghali. no cap.,Positive,2026-08-20
BSA,1,Staff,"Update: sobrang unorganized ng process, ni-redirect ako sa iba't ibang office ng walang malinaw na sagot.",Negative,2026-06-03
BSCS,1,Payments,"They processed my scholarship discount without issues this time, salamat!",Positive,2026-01-12
BSA,1,Faculty,"Grading felt fair this term, walang bias kahit strict siya sa deadlines.",Positive,2026-03-26
BSPSY,2,Faculty,"Tbh, our professor is strict pero makatarungan, alam mo talagang kumita ka ng grade mo. sobra.",Positive,2026-09-22
BSIS,2,Staff,"Sa totoo lang, process is standard lang, walang kakaiba. no cap.",Neutral,2026-06-19
BSHM,4,Staff,"Btw, ang bait ng registrar staff, tinulungan ako maghanap ng lost document ko kaninang umaga. no cap.",Positive,2026-08-25
BSN,4,Facilities,Sirang chairs pa rin hindi na-replace kahit ilang beses na reported.,Negative,2026-11-19
BSIS,2,Faculty,"Medyo mixed feelings ako, minsan clear siya minsan hindi masyado.",Neutral,2026-11-24
BSCE,4,Payments,"Honestly, may extra charge na hindi ko alam kung saan galing, walang paliwanag binigay. just saying.",Negative,2026-07-22
BSCS,2,Faculty,"Class starts late tas natatapos din late, sayang oras namin.",Negative,2026-08-19
BSTM,4,Facilities,"FYI, elevator has been broken for weeks, hirap sa mga may disability o injury.",Negative,2026-07-19
BSCS,2,Payments,"Tbh, average lang ang experience, walang major complaint. di ko lang masabi kung tama ba ako.",Neutral,2026-04-16
BSBA,1,Facilities,"Walang ilaw sa parking lot tuwing gabi, nakakatakot lumabas.",Negative,2026-10-23
BSIT,2,Facilities,"Mixed experience, maganda yung isang building pero luma pa yung isa.",Neutral,2026-07-07
BSA,2,Faculty,"Zero patience sa mga tanong, parang gusto lang niya matapos ang period.",Negative,2026-08-23
BSIT,3,Faculty,"Honestly, sometimes helpful, sometimes parang naiirita na siya sa tanong namin.",Neutral,2026-09-08
BSHM,3,Faculty,"Medyo strict siya sa una pero nung nasanay na ako, actually helpful naman pala talaga siya.",Positive,2026-11-02
BSED,4,Payments,"Di ko sure kung mas maganda na ba ngayon compared before, pareho lang siguro.",Neutral,2026-10-28
BSIT,3,Staff,"Just my two cents, very professional and kind, sinagot lahat ng tanong ko about enrollment. sana maayos na.",Positive,2026-06-30
BEED,2,Staff,"Some are helpful, some parang ayaw kausapin, depende sa staff mo makuha. just saying.",Neutral,2026-06-02
BSTM,1,Payments,"FYI, thankful ako kasi pinayagan akong mag-installment nung nahirapan ako sa tuition. di ko lang masabi kung tama ba ako.",Positive,2026-03-10
BSA,1,Payments,"Napakabilis ng transaction ngayon compared last semester, malaking improvement.",Positive,2026-05-03
BSBA,1,Payments,Salamat sa cashier na tinulungan akong ayusin yung double charge ko kaninang tanghali. sobra.,Positive,2026-04-04
BSA,2,Staff,"Average lang, hindi maganda hindi rin masama. sana maayos na.",Neutral,2026-09-19
BSED,4,Staff,d ko alam kung dapat mag reklamo ako or hnd,Neutral,2026-11-02
BSIS,4,Faculty,"Btw, very organized syllabus, alam mo agad ang schedule ng requirements buong semester. sana maayos na.",Positive,2026-08-05
BSIS,4,Faculty,"I appreciate how our instructor gives real-world examples, mas naiintindihan ko yung lesson.",Positive,2026-11-22
BSHM,2,Staff,"Sa totoo lang, wala akong masabing negative pero wala rin akong masabing wow.",Neutral,2026-10-12
BSIS,4,Faculty,"Honestly, he plays favorites talaga, halata kung sino paborito niya sa recitation. grabe talaga.",Negative,2026-05-28
BSIS,2,Faculty,"May pros and cons, mabilis mag-explain pero minsan late sa grading.",Neutral,2026-06-11
BEED,1,Faculty,"Just my two cents, i don't have strong opinions yet, one topic pa lang naman namin sakanya. just saying.",Neutral,2026-07-03
BSCS,4,Payments,"FYI, nireject yung payment ko kahit tama naman lahat ng binigay kong details. sana ma-address to.",Negative,2026-03-11
BSN,4,Staff,"Honestly, guidance office staff was very patient explaining the process to me step by step. di ko lang masabi kung tama ba ako.",Positive,2026-10-15
BSHM,4,Faculty,"He's fine I guess, walang major issue pero walang rin extra effort.",Neutral,2026-07-29
BSCE,4,Staff,"Just my two cents, napaka-mabagal ng response sa email namin sa OSA, one month na walang balita. just saying.",Negative,2026-08-01
BSPSY,4,Faculty,"Sometimes helpful, sometimes parang naiirita na siya sa tanong namin.",Neutral,2026-09-08
BSIS,1,Payments,"Honestly, walang malinaw na breakdown ng fees, biglang taas nalang ng total.",Negative,2026-10-17
BSCS,2,Payments,"Honestly, ang tagal ng pila sa cashier, umabot ng tatlong oras bago ako naasikaso. grabe talaga.",Negative,2026-05-30
BSCS,3,Faculty,"Tbh, i appreciate how our instructor gives real-world examples, mas naiintindihan ko yung lesson. sobra.",Positive,2026-04-26
BSHM,3,Facilities,"Just my two cents, average lang, wala namang masyadong issue pero wala ring standout. no cap.",Neutral,2026-03-28
BSA-MA,4,Staff,"Honestly, very unapproachable, parang ayaw kang lapitan kapag may tanong ka. di ko lang masabi kung tama ba ako.",Negative,2026-10-17
BSPSY,4,Faculty,"He plays favorites talaga, halata kung sino paborito niya sa recitation. di ko lang masabi kung tama ba ako.",Negative,2026-10-09
BSHM,1,Staff,"Tbh, not bad but could be more responsive sa mga follow up questions. sana ma-address to.",Neutral,2026-10-21
BSIT,3,Faculty,Late palagi si prof pero nagtataka bakit late din kami absent daw kami.,Negative,2026-10-06
BSA,1,Staff,"Tbh, rude sa akin yung staff sa window 3, para akong nanggugulo lang sa kanya.",Negative,2026-08-14
BSHM,2,Facilities,"Btw, not bad, pero medyo outdated na yung ibang equipment. di ko lang masabi kung tama ba ako.",Neutral,2026-08-06
BSIT,2,Facilities,"Average lang, wala namang masyadong issue pero wala ring standout. sana maayos na.",Neutral,2026-06-02
BSCS,4,Staff,"Honestly, napaka-mabagal ng response sa email namin sa OSA, one month na walang balita.",Negative,2026-05-15
BSA,1,Payments,"The cashier explained the breakdown of fees clearly, walang naging confusion.",Positive,2026-08-13
BSIT,2,Staff,"Tbh, not bad but could be more responsive sa mga follow up questions. grabe talaga.",Neutral,2026-04-18
BSA-MA,3,Staff,"Honestly, wala akong masabing negative pero wala rin akong masabing wow. no cap.",Neutral,2026-11-09
BSCE,4,Payments,"Tbh, sobrang bagal ng refund process, isang buwan na wala pa rin update. sana maayos na.",Negative,2026-03-26
BSTM,2,Facilities,"Tbh, some rooms are fine, some need improvement, depende sa building. di ko lang masabi kung tama ba ako.",Neutral,2026-04-16
BSN,1,Staff,"Honestly, thank you sa clinic staff, mabilis silang tumulong nung nahilo ako sa klase.",Positive,2026-10-19
BSA,3,Facilities,"Projector in our room hasn't worked all semester, laging nangangapa si prof.",Negative,2026-11-02
BSHM,2,Faculty,"Honestly, i appreciate how our instructor gives real-world examples, mas naiintindihan ko yung lesson. sana ma-address to.",Positive,2026-06-15
BSPSY,3,Staff,"Tbh, thank you sa clinic staff, mabilis silang tumulong nung nahilo ako sa klase. di ko lang masabi kung tama ba ako.",Positive,2026-05-29
BSTM,3,Faculty,"Not sure pa kung effective yung teaching style, kailangan pa siguro ng oras. no cap.",Neutral,2026-09-21
BSCE,1,Facilities,"Honestly, okay naman ang facilities overall, may mga parte lang na pwede pang ayusin. sana ma-address to.",Neutral,2026-03-11
BSA-MA,4,Faculty,"Prof was super approachable during consultation hours, sobrang helpful pag may tanong ako sa thesis.",Positive,2026-01-31
BSBA,2,Faculty,"FYI, sobrang mabilis ng discussion, parang hindi niya alam na di pa namin gets.",Negative,2026-03-09
BSN,2,Faculty,"Btw, grading seems fine so far pero wala pa kaming enough data para masabi. just saying.",Neutral,2026-06-14
BSN,4,Staff,"Tbh, guidance office staff was very patient explaining the process to me step by step.",Positive,2026-09-08
BSIS,3,Payments,"They processed my scholarship discount without issues this time, salamat! grabe talaga.",Positive,2026-11-18
BSED,4,Facilities,"Elevator has been broken for weeks, hirap sa mga may disability o injury.",Negative,2026-08-20
BSIT,1,Facilities,"FYI, fine naman sa ngayon, tingnan pa natin next sem kung mag-iimprove pa. no cap.",Neutral,2026-07-26
BSHM,3,Payments,"Sobrang bait ng staff sa finance office, hinintay pa ako mag-ayos ng requirements.",Positive,2026-07-08
BEED,4,Facilities,"Wifi is finally stable sa library, di na nade-disconnect habang nag-rrsearch ako.",Positive,2026-06-17
BSTM,1,Payments,"Nagbayad ako tapos nawala pa yung record, kailangan ko pa i-prove na nagbayad ako. grabe talaga.",Negative,2026-02-17
BSPSY,4,Facilities,"Just my two cents, fine naman sa ngayon, tingnan pa natin next sem kung mag-iimprove pa. di ko lang masabi kung tama ba ako.",Neutral,2026-11-22
BSCE,3,Staff,"Ang linis at organized ng records office, mabilis din makakuha ng TOR.",Positive,2026-02-02
BSA-MA,4,Facilities,"Sa totoo lang, wifi is finally stable sa library, di na nade-disconnect habang nag-rrsearch ako. no cap.",Positive,2026-04-22
BSED,2,Staff,"Thank you sa clinic staff, mabilis silang tumulong nung nahilo ako sa klase.",Positive,2026-09-11
BSBA,3,Staff,"Honestly, ang tagal ng line tapos pagdating mo doon sasabihin lang na mali daw window mo.",Negative,2026-05-26
BSA,2,Staff,"They're fine most of the time, minsan lang medyo mabagal. just saying.",Neutral,2026-10-17
BEED,3,Payments,"Sobrang bagal ng refund process, isang buwan na wala pa rin update. grabe talaga.",Negative,2026-01-25
