Category,Sentiment,Comment,Facilities_Bathrooms,Facilities_Cafeteria,Facilities_Classrooms,Facilities_Cleanliness,Facilities_Computers,Facilities_Furniture,Facilities_Monitors,Facilities_Spaces,Payments_Accessibility,Payments_Accounting,Payments_Courteous,Payments_DigitalTrust,Payments_InfoClarity,Payments_Processing,Payments_Queues,Payments_Security,Professor_Approachability,Professor_Clarity,Professor_ClassroomMgmt,Professor_Fairness,Professor_Feedback,Professor_Mastery,Professor_Punctuality,Professor_TeachingQuality,Professor_TeachingStyle,Staff_AdminComm,Staff_Canteen,Staff_Cashier,Staff_Maintenance,Staff_OfficeStaff,Staff_Registrar,Staff_Safety,Staff_Substitute,Rating
Professors,Neutral,The teacher is decent enough this sem.,,,,,,,,,,,,,,,,,3.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,,,,,,,,,3
Professors,Neutral,"Honestly, prof is decent enough today. Sana mas maraming examples.",,,,,,,,,,,,,,,,,3.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,,,,,,,,,3
Facilities,Neutral,"Sana dagdagan yung outlets. 😐, nothing special.",2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Facilities,Neutral,"yung lab walang extra this sem 🙂; medyo ignored yung minsan, pero sakto lang overall.",3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Staff,Positive,The maintenance team was polite this week.,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4
Facilities,Negative,sobrang siksikan yung lab,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Staff,Neutral,pwede na yung staff,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2
Professors,Neutral,"Good prof, no complaints. 😅 Plus, sa ngayon, the lecturer is very good.",,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,,,,,,,,,3
Payments,Neutral,payment sakto lang lately,,,,,,,,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,3
Facilities,Negative,amoy hindi maganda yung chairs today,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Payments,Negative,"The fees took too much time this sem. Also, grabe katagal maproseso.",,,,,,,,,1.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,2
Professors,Positive,helpful naman si facilitator,,,,,,,,,,,,,,,,,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,1.0,,,,,,,,,4
Facilities,Negative,"Overall, the chairs is too small.",2.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Facilities,Negative,"So far, the wifi was too crowded. 🙂 Sa ngayon, the clinic could be better ngayong sem. 😅; medyo dagdagan pero manageable pa rin.",2.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Payments,Neutral,"The billing office was okay, nothing special lately. 🙂",,,,,,,,,2.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,3
Staff,Negative,masungit yung nasa counter this week 😭,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2
Staff,Negative,sobrang bastos minsan yung staff,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2
Payments,Negative,Confusing yung payment breakdown. 🙂 - tbh.,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1
Professors,Negative,sana mas malinaw magturo. 🙁 — grabe.,,,,,,,,,,,,,,,,,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2
Facilities,Positive,okay na okay aircon ngayong sem,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Facilities,Negative,"The computer lab was falling apart this week. On the other hand, too crowded during break.",3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Payments,Negative,"Overall, tuition had hidden fees ngayong sem.",,,,,,,,,1.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,2
Staff,Positive,sulit ang serbisyo yung nasa counter ngayong sem. Cashier was very good today. 😅,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,4
Staff,Neutral,"The registrar was fine, nothing to add. 🙂",,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
Payments,Positive,no problem with payments. 😊 — so far so good.,,,,,,,,,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,4
Professors,Negative,"Sa ngayon, prof was hard to understand today. On the other hand, parang laging galit adviser today 🙂",,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,2
Staff,Neutral,"Yung secretary sakto lang ngayong sem 😐, overall.",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3
Staff,Neutral,"The staff was okay, nothing special.",,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3
Staff,Positive,Love how helpful they are — tbh.,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4
Payments,Positive,"no problem with payments, honestly.",,,,,,,,,4.0,2.0,1.0,5.0,5.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,4
Payments,Positive,"walang issue payment this week 🙂 So far, the cashier's office was posted on time today.",,,,,,,,,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,,,4
Payments,Neutral,"So far, the online payment system could be clearer this week.",,,,,,,,,3.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,3
Facilities,Negative,"Sana updated yung website, for real.",3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Staff,Neutral,manageable naman admin,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4
Payments,Neutral,Payment was acceptable. 😐 — in general.,,,,,,,,,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,3
Professors,Neutral,pwede na propesor 🙂,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,,,,,,,,,3
Payments,Negative,"Confusing yung payment breakdown. 😅, talaga naman.",,,,,,,,,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,2
Professors,Positive,"Honestly, the instructor gives useful examples lately.",,,,,,,,,,,,,,,,,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,,,,,,,,,4
Staff,Negative,epal minsan sa trabaho si guard today,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2
Staff,Neutral,"Sana mas malinaw yung announcements, in general.",,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3
Payments,Positive,process ng bayad sulit ang proseso ngayong sem,,,,,,,,,4.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,4
Staff,Negative,"Honestly, staff needs more people on duty.",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2
Payments,Neutral,Payment was acceptable. 😐,,,,,,,,,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,3
Facilities,Neutral,"pwede na yung gym 😭 Plus, okay yung library hours. 😅",3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Staff,Neutral,Wala naman akong issue. 🙂,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3
Facilities,Positive,Malinis naman ang campus. 🙂,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Professors,Neutral,"Discussion was interesting. Also, prof was harsh with feedback this sem.",,,,,,,,,,,,,,,,,2.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,4.0,,,,,,,,,3
Staff,Negative,Grabe kadali magalit. 😅 Front desk was polite lately. 🙂,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,2
Staff,Negative,Nakakainsulto yung pagsagot niya. 😭 — overall.,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2
Facilities,Neutral,The computer lab is manageable.,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Staff,Neutral,"So far, student affairs was acceptable lately.",,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3
Staff,Negative,mahirap lapitan admin this week,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2
Facilities,Positive,"Overall, the CR was clean and quiet. Plus, hallway ang init this week",3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Professors,Positive,si prof malinaw magturo today,,,,,,,,,,,,,,,,,5.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,,,,,,,,,3
Facilities,Negative,"Too crowded during break. 🙂 Plus, so far, the library was neglected for months this sem.",1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Professors,Neutral,"Overall, the instructor could be clearer sometimes.",,,,,,,,,,,,,,,,,5.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,,,,,,,,,3
Staff,Positive,"Overall, office staff was accommodating. 😅 Mabait naman sila.",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4
Payments,Negative,"Sobrang abala ng buong proseso. So far, the fees had hidden fees ngayong sem.",,,,,,,,,2.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,2
Facilities,Negative,Sana ayusin yung projector. 🙁 - overall.,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Professors,Negative,"Overall, the teacher was often late.",,,,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,2
Professors,Positive,"So far, the professor gives fair grades. Also, one of the best profs I've had.",,,,,,,,,,,,,,,,,5.0,4.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,,,,,,,,,4
Professors,Positive,Sir makes lessons easy to follow lately. 🙂,,,,,,,,,,,,,,,,,5.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,,,,,,,,,4
Facilities,Negative,ang lakas ng electric fan — talaga naman.,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Staff,Neutral,"The guard was okay, nothing special. 😭",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2
Professors,Negative,si prof sobrang taray this sem - for real.,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,2
Professors,Negative,"Honestly, the teacher seemed unprepared most days this week.",,,,,,,,,,,,,,,,,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,2
Payments,Positive,Tuition was posted on time this sem.,,,,,,,,,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,4
Facilities,Positive,"Malinis naman ang campus. 😊, consistently.",4.0,5.0,4.0,4.0,3.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Facilities,Neutral,"Facilities are okay. Plus, okay yung library hours.",3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Facilities,Negative,Need more study spaces. 😅 ang init yung gym today 😅,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Facilities,Negative,"yung chairs ang init, ang hirap.",1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Payments,Positive,"smooth transaction today. 🙂, consistently.",,,,,,,,,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,4
Payments,Negative,Sana may installment option. 😭 - sobra.,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1
Payments,Negative,"yung breakdown sira ang portal this week 🙂 On the other hand, the refund process had no issues at all this sem.",,,,,,,,,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,2
Facilities,Positive,The chairs worked fine today today.,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Payments,Negative,"Sana may installment option. 🙂 Also, yung breakdown medyo mahal for students this sem",,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,2
Staff,Negative,Front desk took forever to reply. 😅,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,2
Facilities,Neutral,The gym is decent overall. pwede na yung lab,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Professors,Positive,"No complaints about the professor. 😅 Plus, very good professor.",,,,,,,,,,,,,,,,,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,,,,,,,,,4
Professors,Negative,"Nakakatakot magtanong sa kanya. Plus, very good professor.",,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,2
Staff,Negative,"Sa ngayon, student affairs was rude to me this sem.",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2
Professors,Negative,Sana mas malinaw magturo - grabe.,,,,,,,,,,,,,,,,,5.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,2
Payments,Neutral,"sakto lang payment this week. Also, tuition was fair enough lately. 🙂",,,,,,,,,3.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,3
Payments,Negative,"So far, the billing office is confusing. 😭 The refund process was posted on time ngayong sem.",,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1
Staff,Negative,"So far, office staff was condescending this week.",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2
Payments,Positive,process ng bayad smooth naman this week,,,,,,,,,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,4
Payments,Positive,No problem with payments. 🙂 — consistently.,,,,,,,,,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,4
Facilities,Positive,malinis naman ang campus. 😊 - for real.,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Payments,Neutral,sakto lang fees 😭,,,,,,,,,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,3
Professors,Positive,"Overall, ma'am is very good. On the other hand, nakakatakot magtanong sa kanya.",,,,,,,,,,,,,,,,,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,,,,,,,,,4
Staff,Negative,Grabe kadali magalit. 😭 — in general.,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2
Professors,Negative,"Sa ngayon, the professor gave unclear instructions. Sobrang taray ng dating niya. 🙂",,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,2
Staff,Negative,"Honestly, the maintenance team was rude to me.",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1
Payments,Neutral,"So far, payment was fair enough today.",,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,3
Facilities,Positive,Love the library! - for real.,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Professors,Positive,yung instructor malinaw magturo 😊 - so far so good.,,,,,,,,,,,,,,,,,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,,,,,,,,,4
Facilities,Negative,"Sana ayusin yung projector, sa totoo lang.",1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1
Staff,Neutral,"no comment, okay naman. 😐 — medyo lang.",,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3
Payments,Positive,yung breakdown mabilis magprocess this week 😭; na medyo sayang pero pero talaga naman ngayon.,,,,,,,,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,4
Professors,Neutral,Sir is decent enough ngayong sem. 🙂,,,,,,,,,,,,,,,,,4.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,,,,,,,,,4
Staff,Neutral,The registrar was average overall. 😅,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2
Facilities,Positive,The CR was comfortable. 🙂,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Payments,Neutral,The cashier's office was fair enough this week.,,,,,,,,,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,3
Payments,Positive,mabilis ang transaction payment lately,,,,,,,,,4.0,2.0,5.0,4.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,4
Professors,Positive,very good professor. 😭 - in general.,,,,,,,,,,,,,,,,,4.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,4
Facilities,Neutral,Okay yung library hours - overall.,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Staff,Positive,ang bait guard sa gate,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4
Facilities,Negative,"hallway sobrang siksikan today 😅 Plus, sa ngayon, the library was comfortable.",3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Facilities,Neutral,"The wifi is fair for now. 😭 Also, nice environment overall.",1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Payments,Negative,Payment confirmation took time. 😭 — grabe.,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,1
Facilities,Neutral,"Sa ngayon, the aircon is fair for now ngayong sem. 🙂",3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Professors,Negative,sobrang taray si facilitator lately 🙂,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,,,,,,,,,3
Payments,Positive,smooth naman yung payment 😅,,,,,,,,,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,4
Staff,Neutral,okay lang yung nasa counter 😭,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3
Staff,Positive,Mabait naman sila - honestly; may cleaning minsan pero overall okay pa rin.,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4
Professors,Neutral,"The professor is okay ngayong sem. So far, the teacher teaches fine, nothing special this week. 😅",,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,,,,,,,,,3
Payments,Negative,Sobrang abala ng buong proseso. 🙁 — in general.,,,,,,,,,2.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,3
Facilities,Negative,"So far, the projector smelled terrible today.",1.0,2.0,1.0,3.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Staff,Positive,cashier madaling kausap — as expected.,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,4
Payments,Positive,"smooth transaction today. 🙂, so far so good.",,,,,,,,,5.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,4
Payments,Positive,Good experience overall - consistently.,,,,,,,,,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,4
Payments,Negative,sobrang abala ng buong proseso. 😅 - ang hirap.,,,,,,,,,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,2
Payments,Neutral,medyo mahal for students resibo this week,,,,,,,,,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,3
Staff,Neutral,yung secretary manageable naman ngayong sem 🙂,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2
Facilities,Neutral,Okay yung library hours. The clinic was comfortable ngayong sem.,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3
Professors,Positive,Very good professor - sa totoo lang.,,,,,,,,,,,,,,,,,1.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,5.0,,,,,,,,,4
